,alpha,beta,gamma,tau,scf_cs,nn_scf_cs
491,11.2,0.26,22,0.56,4.951126596,5.015466
492,14.7,0.37,17.4,0.57,5.413728733,5.4626985
493,12.7,0.37,16.7,0.56,5.038681646,5.1250052
494,17,0.52,9.5,0.56,3.569932814,3.704503
495,35.4,0.24,15.1,0.94,1.856078182,2.6302092
496,26.7,0.23,16.9,0.81,1.82212299,3.2241716
497,16.7,0.37,8.9,1,1.814902782,1.944467
498,29.2,0.2,19.3,0.94,3.076009552,2.9280627
499,16.9,0.34,12.4,0.97,3.659902044,3.5441985
500,11.9,0.35,9.5,0.93,1.967859583,2.1081505
501,34.7,0.21,13,0.93,1.366014673,1.1417968
502,13.9,0.24,17.3,0.94,3.85307984,3.5751982
503,17.4,0.53,10.6,0.97,5.425799569,5.296622
504,37.7,0.46,14.1,0.99,7.514967788,7.1790566
505,35.5,0.43,13.7,0.95,6.341801692,6.161328
506,9.6,0.24,11.1,0.89,1.326072474,1.278784
507,5.6,0.24,17.1,0.91,3.627092549,3.464346
508,28.6,0.23,17.4,0.89,3.558340423,3.3563232
509,16.2,0.29,11.1,0.83,1.897642903,2.1129358
510,19.7,0.24,31.5,0.98,10.70347072,10.759972
511,6.9,0.23,28.2,0.98,8.328411037,8.503205
512,30.8,0.46,23.4,0.99,14.5903531,14.967675
513,15.1,0.4,17.7,0.97,8.758543379,8.69004
514,24.1,0.26,10.6,0.86,1.459886056,1.4682813
515,21,0.26,8,0.92,0.612221988,0.70597875
516,8.5,0.47,15.5,0.97,8.415675448,8.233097
517,29.2,0.25,25.8,0.94,8.184926234,8.272683
518,34.1,0.42,18,0.97,9.631904913,9.397418
519,37.1,0.36,25.6,0.97,13.10948909,12.962372
520,25.3,0.25,15.5,0.84,3.217600744,3.1407435
521,9,0.3,16.1,0.9,4.907637408,4.6839495
522,7.8,0.34,24.6,0.99,11.44884034,11.47563
523,28.9,0.44,11.7,0.89,4.982648124,4.7311063
524,20.4,0.27,10.1,0.8,1.38852395,1.5080118
525,19.7,0.33,10.2,0.81,2.248709675,2.29312
526,14.1,0.2,9.4,0.84,0.359732137,0.33449507
527,23.4,0.25,15.2,0.82,3.103256848,3.0290122
528,37.5,0.41,21.1,0.99,11.90949701,11.659426
529,7.5,0.22,20,0.86,4.336306463,4.1361322
530,5,0.35,29.7,0.95,13.6545202,13.664648
531,11.5,0.33,8.8,0.76,1.534951966,1.7861897
532,11.4,0.48,20.3,0.96,12.47313094,12.472561
533,7.5,0.34,9.8,0.78,2.167101625,2.2658927
534,14.4,0.26,23.6,0.9,7.5893159,7.437042
535,27.9,0.3,24.2,0.88,9.231601381,9.150071
536,12.7,0.52,23.2,0.93,15.4852732,15.336054
537,38.9,0.39,29.3,0.85,14.62409724,14.706279
538,22,0.25,14.1,0.76,2.690852135,2.6428592
539,18.5,0.47,11,0.82,4.767655179,4.593196
540,4.6,0.33,29,0.88,11.68412336,11.789632
541,11.9,0.3,11.7,0.74,2.624725104,2.5879385
542,31.6,0.24,29.1,0.83,8.575016622,8.621042
543,5.4,0.41,30.5,0.9,15.24482149,15.14491
544,4.3,0.35,30.6,0.87,12.84821956,12.858626
545,19.4,0.35,15.4,0.81,5.502850955,5.3180223
546,20.3,0.32,15.2,0.77,4.571883097,4.505694
547,32.9,0.25,13.9,0.62,1.891297024,2.596317
548,17.2,0.54,22.2,0.91,15.07462198,14.902924
549,11.3,0.54,24.3,0.9,15.94719184,15.921171
550,12.9,0.39,24,0.83,11.40139312,11.427617
551,5.8,0.38,29.1,0.86,13.23078102,13.338324
552,9.5,0.22,10.3,0.67,0.987899199,1.108584
553,19.8,0.41,10.8,0.77,3.905183865,3.6344056
554,32.5,0.48,21.4,0.86,12.37293745,12.327127
555,34,0.3,23.7,0.8,8.329450491,8.301745
556,25,0.51,22.5,0.86,13.75404412,13.81642
557,31.6,0.35,25.7,0.81,11.11383633,10.976995
558,7.8,0.21,26.2,0.79,5.905847693,6.029754
559,39.2,0.48,11.7,0.76,5.015092124,4.9868155
560,4.6,0.42,13.9,0.82,5.412227205,5.285826
561,38.2,0.54,23,0.87,15.02392911,14.836771
562,17.1,0.38,29.7,0.79,13.63204618,13.744713
563,37.1,0.28,17.8,0.75,4.854695545,4.7753105
564,33.8,0.31,19,0.77,6.136925022,6.126331
565,37.8,0.49,16.5,0.81,8.657998077,8.555676
566,8.4,0.39,22,0.82,9.845819306,9.912202
567,24.4,0.27,29,0.74,8.994221785,9.06723
568,5.3,0.39,18.1,0.83,7.438231458,7.3612623
569,26.1,0.46,23.3,0.81,12.6863422,12.569412
570,21.6,0.45,13.4,0.76,5.861769804,5.701616
571,30.6,0.5,24.1,0.81,13.99279691,13.9463825
572,30,0.24,29.3,0.71,7.783346549,7.8045154
573,24.1,0.44,26.9,0.74,13.22278676,13.194591
574,30.2,0.43,25.7,0.77,12.76291971,12.715375
575,19.5,0.27,11.9,0.66,2.333095075,2.266008
576,17,0.29,23.1,0.74,7.449846675,7.340092
577,30.4,0.47,26.8,0.71,13.37470711,13.29833
578,37.6,0.45,11.5,0.71,4.524184562,4.3870983
579,15.5,0.41,24.9,0.76,11.58554704,11.649477
580,4.4,0.41,14.6,0.76,5.372644904,5.3181753
581,38.6,0.32,18.3,0.75,6.073144134,5.924244
582,17.7,0.24,8.2,0.62,0.853024073,0.9245233
583,37.9,0.3,13.2,0.67,3.237771078,3.1380897
584,29.3,0.46,28.3,0.63,12.46196132,12.416805
,,,,,28.17268937,
